CheckingStatus;LoanDuration;CreditHistory;LoanPurpose;LoanAmount;ExistingSavings;EmploymentDuration;InstallmentPercent;Sex;OthersOnLoan;CurrentResidenceDuration;OwnsProperty;Age;InstallmentPlans;Housing;ExistingCreditsCount;Job;Dependents;Telephone;ForeignWorker;Risk
less_0;٩;all_credits_paid_back;car_used;٤٣٠٢;less_100;1_to_4;٣;male;none;١;car_other;٣٤;none;free;١;skilled;١;none;yes;No Risk
no_checking;٢٧;outstanding_credit;furniture;٣٣١٠;500_to_1000;greater_7;٥;male;none;٣;car_other;٤٠;none;free;١;skilled;١;yes;yes;No Risk
0_to_200;٢٩;credits_paid_to_date;furniture;٣٧٠٥;less_100;less_1;٣;female;co-applicant;٣;car_other;٤٤;none;own;١;skilled;١;none;yes;No Risk
greater_200;٤;all_credits_paid_back;car_new;٢٤٠٧;less_100;1_to_4;٣;female;none;٢;car_other;٥٢;none;own;١;skilled;٢;yes;yes;No Risk
no_checking;٣٣;all_credits_paid_back;furniture;٣٨١٠;100_to_500;less_1;٢;female;co-applicant;٤;savings_insurance;٣٥;none;own;١;skilled;١;none;yes;Risk
0_to_200;٤;all_credits_paid_back;car_new;٢٥٠;less_100;1_to_4;٢;female;none;١;real_estate;٢٦;none;own;١;skilled;١;none;yes;No Risk
no_checking;٣٩;prior_payments_delayed;repairs;٧١٥٠;500_to_1000;4_to_7;٣;male;co-applicant;٤;unknown;٥٢;none;own;٢;skilled;١;yes;yes;Risk
0_to_200;٤;all_credits_paid_back;car_new;٢٥٠;less_100;1_to_4;٢;female;none;٢;real_estate;٢٨;none;own;١;skilled;١;none;yes;No Risk
less_0;١٣;all_credits_paid_back;vacation;٢٣١٧;less_100;less_1;٢;female;none;٢;savings_insurance;٢٧;stores;own;٢;skilled;١;none;yes;No Risk
0_to_200;١٥;prior_payments_delayed;furniture;٢٥٠;500_to_1000;4_to_7;٣;male;none;٢;savings_insurance;٢٤;none;own;٢;skilled;٢;yes;yes;No Risk
0_to_200;١٦;prior_payments_delayed;car_new;٥٥٥١;100_to_500;1_to_4;٣;male;none;٣;car_other;٣٤;none;rent;٢;management_self-employed;١;none;yes;No Risk
no_checking;٣٤;prior_payments_delayed;furniture;٦٠٦٣;unknown;1_to_4;٤;male;none;٥;car_other;٤٠;none;own;٢;skilled;١;none;yes;No Risk
less_0;١٣;all_credits_paid_back;radio_tv;١٠٤٥;100_to_500;less_1;٢;female;none;١;real_estate;٢٤;none;rent;١;skilled;١;none;yes;No Risk
less_0;١٥;credits_paid_to_date;vacation;٢٥٠;less_100;4_to_7;٢;female;none;٢;real_estate;١٩;stores;rent;١;skilled;١;none;yes;No Risk
0_to_200;٣٣;credits_paid_to_date;repairs;٣٩٤٦;less_100;4_to_7;٢;female;none;٢;car_other;٣٣;stores;own;١;unskilled;١;none;yes;No Risk
less_0;٢٣;prior_payments_delayed;car_used;٢٥٠;greater_1000;1_to_4;٢;male;none;٣;real_estate;١٩;stores;rent;١;skilled;١;none;yes;No Risk
less_0;٩;prior_payments_delayed;furniture;٢٩٢;less_100;less_1;٢;female;none;٣;car_other;٥١;none;rent;١;skilled;١;none;yes;No Risk
no_checking;١٠;prior_payments_delayed;radio_tv;٤٣١٢;100_to_500;less_1;٣;female;none;٣;car_other;٣٨;none;own;١;skilled;٢;yes;yes;No Risk
no_checking;٢٥;outstanding_credit;radio_tv;٦٩٤٥;500_to_1000;1_to_4;٤;female;none;٤;unknown;٤٦;none;own;١;management_self-employed;١;yes;yes;Risk
no_checking;٢٠;prior_payments_delayed;appliances;٢٨٢٧;unknown;4_to_7;٣;male;co-applicant;٣;savings_insurance;٣١;none;own;١;skilled;١;none;yes;No Risk
no_checking;٢٦;prior_payments_delayed;appliances;٤٣٩١;500_to_1000;greater_7;٤;female;none;٣;car_other;٣٩;stores;own;٢;unskilled;٢;yes;yes;Risk
less_0;٢١;prior_payments_delayed;car_used;٣١٩;100_to_500;greater_7;٣;male;none;٣;savings_insurance;٣٢;none;rent;١;skilled;١;none;yes;Risk
0_to_200;٢٨;credits_paid_to_date;furniture;٣٥١٩;less_100;4_to_7;٤;male;none;٢;savings_insurance;٣٩;none;own;١;skilled;١;yes;yes;No Risk
0_to_200;٧;credits_paid_to_date;car_new;٢٥٠;less_100;less_1;١;female;none;٢;real_estate;٣١;none;own;١;skilled;١;none;yes;No Risk
less_0;١٥;prior_payments_delayed;car_used;١٤٢٠;100_to_500;4_to_7;٢;male;none;٣;car_other;٣٥;stores;rent;١;skilled;١;none;yes;No Risk
greater_200;١٤;prior_payments_delayed;car_new;١٦٨٣;100_to_500;1_to_4;٣;male;co-applicant;٤;savings_insurance;٣٥;none;own;١;skilled;١;yes;yes;No Risk
no_checking;٢٨;outstanding_credit;car_used;٤٩٠٤;500_to_1000;1_to_4;٢;male;none;٣;car_other;٤٠;none;own;١;skilled;٢;yes;yes;Risk
no_checking;٢٨;prior_payments_delayed;repairs;٣٧٨٩;100_to_500;4_to_7;٤;male;none;٤;car_other;٢٩;none;own;٢;skilled;١;none;yes;Risk
no_checking;٦٤;outstanding_credit;retraining;٩٩١٨;unknown;4_to_7;٦;male;co-applicant;٥;unknown;٤٩;none;free;٢;skilled;٢;yes;yes;Risk
0_to_200;٦;all_credits_paid_back;car_used;٣١١٥;less_100;1_to_4;٢;female;co-applicant;٢;real_estate;٢٧;none;own;١;skilled;١;none;yes;Risk
less_0;١٠;all_credits_paid_back;car_new;١٤٠٠;less_100;less_1;١;female;none;١;car_other;٢٨;stores;own;١;skilled;١;none;yes;No Risk
0_to_200;٧;all_credits_paid_back;car_new;٢٥٠;less_100;less_1;٢;male;none;١;real_estate;٢٢;none;rent;١;skilled;١;none;yes;No Risk
no_checking;٣١;prior_payments_delayed;furniture;٧٦٨٥;100_to_500;4_to_7;٤;male;none;٤;unknown;٥١;none;free;٢;skilled;١;yes;yes;Risk
less_0;٤;credits_paid_to_date;car_new;٢٥٠;less_100;1_to_4;٢;female;none;١;real_estate;١٩;stores;own;١;skilled;١;none;yes;No Risk
no_checking;٢٥;credits_paid_to_date;radio_tv;٣٨١٨;greater_1000;1_to_4;٢;male;none;٤;savings_insurance;٣٦;none;rent;٢;skilled;١;none;yes;Risk
0_to_200;١٩;credits_paid_to_date;car_used;١٨٩٧;100_to_500;unemployed;١;male;none;٣;savings_insurance;١٩;none;rent;١;skilled;١;none;yes;No Risk
less_0;٣٩;outstanding_credit;appliances;٤١٣١;100_to_500;1_to_4;٤;male;none;٤;unknown;٢٩;bank;own;١;unskilled;١;yes;yes;No Risk
no_checking;٣٥;outstanding_credit;repairs;٣٥٤١;greater_1000;greater_7;٥;male;none;٤;car_other;٤٥;none;own;١;skilled;١;yes;yes;Risk
less_0;١٧;credits_paid_to_date;repairs;٣٨٦١;less_100;1_to_4;٣;male;none;٣;real_estate;٢٥;none;own;١;skilled;١;none;yes;No Risk
no_checking;٣٨;outstanding_credit;other;٦٠٨٦;unknown;greater_7;٤;female;co-applicant;٥;unknown;٤٤;stores;rent;٢;unskilled;٢;yes;yes;Risk
no_checking;٢٦;prior_payments_delayed;radio_tv;٦٤٠٢;100_to_500;4_to_7;٤;female;none;٤;unknown;٥٢;none;free;٢;skilled;١;yes;yes;No Risk
no_checking;٨;no_credits;car_new;٢٥٠;less_100;1_to_4;٣;female;none;٣;real_estate;٤٦;none;own;٢;management_self-employed;٢;none;yes;No Risk
no_checking;٣٠;outstanding_credit;appliances;٧٦٥٠;500_to_1000;1_to_4;٤;female;none;٤;unknown;٥٩;none;free;٢;management_self-employed;٢;yes;yes;Risk
no_checking;٢٨;outstanding_credit;appliances;٥٩٩٠;500_to_1000;greater_7;٥;male;co-applicant;٣;car_other;٥٥;none;free;٢;skilled;٢;yes;yes;Risk
greater_200;٢٢;all_credits_paid_back;car_used;٣٣٧٦;less_100;less_1;٣;female;none;٢;car_other;٣٢;none;own;١;skilled;١;none;yes;No Risk
no_checking;٣٩;credits_paid_to_date;vacation;٦٤٣٤;unknown;greater_7;٥;female;none;٤;car_other;٣٩;none;own;٢;skilled;٢;yes;yes;Risk
0_to_200;٢٠;credits_paid_to_date;furniture;٢٤٤٢;less_100;unemployed;٣;female;none;١;real_estate;٤٢;none;own;١;skilled;١;none;yes;No Risk
greater_200;٤;all_credits_paid_back;education;٤٢٠٦;less_100;unemployed;١;female;none;٣;savings_insurance;٢٧;none;own;١;management_self-employed;١;none;yes;No Risk
greater_200;٢٣;credits_paid_to_date;car_used;٢٩٦٣;greater_1000;greater_7;٤;female;none;٤;car_other;٤٦;none;own;٢;skilled;١;none;yes;Risk
no_checking;٣١;prior_payments_delayed;vacation;٢٦٧٣;500_to_1000;1_to_4;٣;male;none;٢;real_estate;٣٥;stores;rent;١;skilled;٢;none;yes;Risk
no_checking;٣٧;prior_payments_delayed;other;٦٩٧١;500_to_1000;1_to_4;٣;male;none;٣;savings_insurance;٥٤;none;own;٢;skilled;١;yes;yes;Risk
no_checking;١٤;all_credits_paid_back;car_new;١٥٢٥;500_to_1000;4_to_7;٣;male;none;٤;real_estate;٣٣;none;own;١;skilled;١;none;yes;No Risk
less_0;١٠;prior_payments_delayed;furniture;٤٠٣٧;less_100;4_to_7;٣;male;none;٣;savings_insurance;٣١;none;rent;١;skilled;١;none;yes;Risk
0_to_200;٢٨;credits_paid_to_date;retraining;١١٥٢;less_100;less_1;٢;female;none;٢;savings_insurance;٢٠;stores;own;١;skilled;١;none;yes;No Risk
less_0;١٧;credits_paid_to_date;car_new;١٨٨٠;less_100;less_1;٣;female;co-applicant;٢;savings_insurance;٤١;none;own;١;skilled;١;none;yes;No Risk
0_to_200;٣٩;prior_payments_delayed;appliances;٥٦٨٥;100_to_500;1_to_4;٤;female;none;٢;unknown;٣٧;none;own;٢;skilled;١;yes;yes;Risk
no_checking;٣٢;prior_payments_delayed;radio_tv;٥١٠٥;500_to_1000;1_to_4;٤;male;none;٥;savings_insurance;٤٤;none;own;٢;management_self-employed;١;none;yes;Risk
no_checking;٣٨;prior_payments_delayed;appliances;٤٩٩٠;500_to_1000;greater_7;٤;male;none;٤;car_other;٥٠;bank;own;٢;unemployed;٢;yes;yes;Risk
less_0;١٧;credits_paid_to_date;furniture;١٠١٧;less_100;less_1;٢;female;none;١;car_other;٣٠;none;own;١;skilled;١;none;yes;No Risk
less_0;٣٣;all_credits_paid_back;car_new;٣٦١٨;500_to_1000;4_to_7;٢;male;none;٣;unknown;٣١;stores;own;٢;unskilled;١;none;yes;No Risk
less_0;١٢;no_credits;car_new;٣٠٣٧;less_100;less_1;١;female;none;٢;car_other;٣١;stores;own;١;skilled;١;none;yes;No Risk
no_checking;٢٣;prior_payments_delayed;furniture;١٤٤٠;100_to_500;1_to_4;٣;female;none;٣;real_estate;٣٩;stores;own;١;unskilled;١;yes;yes;No Risk
less_0;١٨;prior_payments_delayed;retraining;٤٠٣٢;less_100;1_to_4;٢;female;none;٢;car_other;٣٦;none;rent;١;skilled;١;none;yes;No Risk
no_checking;١١;prior_payments_delayed;car_used;٩٤٤;greater_1000;1_to_4;٣;male;none;٤;real_estate;٣٥;none;own;١;management_self-employed;١;yes;yes;No Risk
no_checking;٣٦;prior_payments_delayed;appliances;٥٩٢٧;unknown;greater_7;٤;male;co-applicant;٣;savings_insurance;٤٧;none;own;٢;skilled;١;none;yes;Risk
no_checking;٥٠;outstanding_credit;other;٤٦٩٤;unknown;greater_7;٤;female;none;٤;unknown;٣٧;none;own;١;skilled;٢;yes;yes;Risk
no_checking;٣٢;prior_payments_delayed;radio_tv;١٠٥٨٤;100_to_500;1_to_4;٣;male;co-applicant;٣;unknown;٤٦;stores;own;٢;unskilled;٢;yes;yes;No Risk
no_checking;٤١;prior_payments_delayed;furniture;٨٩٠٠;500_to_1000;4_to_7;٤;male;co-applicant;٣;car_other;٢٦;none;free;٢;skilled;١;yes;yes;Risk
0_to_200;١٤;credits_paid_to_date;car_used;١١٤٤;100_to_500;less_1;٢;female;none;٢;real_estate;٣٣;none;rent;١;skilled;١;none;yes;No Risk
no_checking;١٤;outstanding_credit;appliances;١٦٨٠;100_to_500;greater_7;٤;male;none;٣;car_other;٤٧;none;own;١;management_self-employed;١;none;yes;No Risk
0_to_200;٢٣;credits_paid_to_date;retraining;٣٣٨٧;less_100;less_1;٣;female;none;٣;savings_insurance;٢٨;none;own;١;skilled;١;none;yes;No Risk
no_checking;١٤;credits_paid_to_date;furniture;١٢٦٩;500_to_1000;greater_7;٢;male;none;٢;savings_insurance;٣٩;none;own;١;skilled;١;none;yes;No Risk
no_checking;٣٦;prior_payments_delayed;appliances;٩٥٧٠;100_to_500;4_to_7;٤;male;co-applicant;٣;car_other;٥٣;none;free;٢;skilled;١;yes;yes;No Risk
less_0;١٦;credits_paid_to_date;car_new;١٤٢٨;less_100;4_to_7;١;male;none;١;car_other;٢٠;bank;rent;١;unemployed;١;yes;yes;No Risk
no_checking;٢٤;outstanding_credit;car_used;٤٦٢٠;greater_1000;1_to_4;٣;male;none;٤;savings_insurance;٤٠;none;own;٢;skilled;١;yes;yes;No Risk
no_checking;٣٤;prior_payments_delayed;furniture;٢١٩٦;500_to_1000;greater_7;٣;male;none;٤;savings_insurance;٢٧;none;own;١;skilled;١;none;yes;No Risk
no_checking;٢٥;prior_payments_delayed;car_used;٨٧٠٨;100_to_500;1_to_4;٤;male;none;٥;car_other;٤٣;none;free;٢;management_self-employed;١;none;yes;No Risk
no_checking;٣٧;outstanding_credit;radio_tv;١٠٥٥٠;unknown;greater_7;٥;male;co-applicant;٤;unknown;٤٨;stores;own;٢;unemployed;٢;yes;yes;Risk
no_checking;٢٧;prior_payments_delayed;radio_tv;٤٩٨١;500_to_1000;4_to_7;٤;male;none;٤;savings_insurance;٤٧;none;own;٢;management_self-employed;٢;yes;yes;No Risk
less_0;١٣;all_credits_paid_back;car_new;٢٤٣٦;less_100;less_1;٢;female;none;١;savings_insurance;١٩;stores;own;١;skilled;١;none;yes;No Risk
greater_200;٢٥;outstanding_credit;appliances;٤١٣٦;100_to_500;4_to_7;٣;male;none;٢;car_other;٤٦;bank;own;١;unemployed;١;yes;yes;No Risk
no_checking;١٥;credits_paid_to_date;retraining;٤٠١٤;less_100;1_to_4;٤;male;co-applicant;٤;savings_insurance;٣٣;none;own;١;skilled;١;yes;yes;Risk
no_checking;٢٨;prior_payments_delayed;appliances;٥٤٤٠;100_to_500;4_to_7;٣;female;none;٢;unknown;٤٠;none;own;٢;skilled;١;yes;yes;Risk
less_0;١٣;prior_payments_delayed;appliances;٢٥٠;500_to_1000;4_to_7;٢;male;none;٣;car_other;٢٨;stores;own;١;skilled;١;none;yes;No Risk
less_0;١٩;credits_paid_to_date;furniture;٢١١١;less_100;4_to_7;٣;male;none;٢;savings_insurance;٣٤;bank;own;١;unemployed;٢;none;yes;No Risk
no_checking;٢٧;prior_payments_delayed;appliances;٦٤٥٥;100_to_500;4_to_7;٣;male;none;٤;car_other;٤٣;none;own;١;skilled;١;none;yes;Risk
less_0;١٧;credits_paid_to_date;car_used;٢٥٠;less_100;4_to_7;٣;female;none;٢;real_estate;٤٠;none;free;٢;skilled;١;none;yes;No Risk
no_checking;٢٧;prior_payments_delayed;radio_tv;٤٥٢١;100_to_500;less_1;٤;male;none;٤;savings_insurance;٢٨;none;own;١;management_self-employed;٢;yes;yes;No Risk
no_checking;٣٧;prior_payments_delayed;other;٧٩٤٥;500_to_1000;1_to_4;٤;male;none;٤;savings_insurance;٣٩;none;own;٢;management_self-employed;١;none;yes;No Risk
less_0;٦;all_credits_paid_back;car_used;٢٥٠;less_100;1_to_4;٢;male;none;٢;savings_insurance;٢٨;stores;rent;١;skilled;١;none;yes;Risk
less_0;١٤;all_credits_paid_back;appliances;١٤٣١;less_100;unemployed;١;female;none;١;car_other;٢٥;stores;own;١;skilled;١;none;yes;Risk
greater_200;٥;credits_paid_to_date;car_used;٢٥٠;less_100;4_to_7;٣;male;none;٢;savings_insurance;٤٢;none;rent;١;skilled;١;none;yes;No Risk
less_0;١١;all_credits_paid_back;furniture;٢٠١٦;less_100;less_1;١;female;none;١;car_other;٣٤;bank;own;١;unemployed;١;none;yes;No Risk
less_0;٤;credits_paid_to_date;car_new;٢٥٠;less_100;unemployed;١;female;none;١;real_estate;٢٩;none;rent;١;skilled;١;none;yes;No Risk
0_to_200;١٦;prior_payments_delayed;radio_tv;١٩٢٣;100_to_500;less_1;٣;female;none;٢;car_other;٤٦;none;rent;١;skilled;٢;none;yes;Risk
less_0;٥;prior_payments_delayed;car_used;٢٥٢٨;less_100;1_to_4;٢;male;none;٢;real_estate;٢٣;none;rent;١;skilled;١;none;yes;No Risk
greater_200;٢٩;prior_payments_delayed;vacation;٧٠٨٣;500_to_1000;4_to_7;٤;female;none;٤;unknown;٤٩;none;own;٢;skilled;٢;yes;yes;Risk
no_checking;٤٣;prior_payments_delayed;repairs;٨٨٨٦;greater_1000;greater_7;٥;male;co-applicant;٤;car_other;٣٥;none;free;٢;skilled;١;yes;yes;No Risk
no_checking;٢٤;prior_payments_delayed;radio_tv;٤٣٩٣;100_to_500;less_1;٣;female;none;٣;real_estate;٤١;none;own;١;management_self-employed;١;none;yes;No Risk
no_checking;٣٢;outstanding_credit;appliances;٨٠٣٢;500_to_1000;1_to_4;٣;male;none;٣;unknown;٤١;none;own;١;skilled;١;none;yes;No Risk
less_0;٢٠;credits_paid_to_date;car_used;٦٢٠١;500_to_1000;4_to_7;٤;male;guarantor;٤;unknown;٤٠;stores;own;٢;unskilled;١;yes;yes;No Risk
0_to_200;٢٨;prior_payments_delayed;car_used;٣٩٥٢;greater_1000;greater_7;٤;male;none;٤;savings_insurance;٣٦;none;own;٢;skilled;١;none;yes;No Risk
less_0;١٦;prior_payments_delayed;car_used;٢١٢٢;less_100;1_to_4;٢;male;none;٣;car_other;٣٢;none;own;٢;skilled;١;none;yes;No Risk
less_0;٤;all_credits_paid_back;car_new;٢٥٠;less_100;unemployed;١;male;none;١;real_estate;١٩;none;rent;١;skilled;١;none;yes;No Risk
no_checking;٢٩;outstanding_credit;appliances;٥٢٢٠;500_to_1000;greater_7;٤;male;co-applicant;٣;car_other;٥٢;none;free;٢;skilled;١;yes;yes;Risk
less_0;١٣;credits_paid_to_date;furniture;١٢٧٦;500_to_1000;1_to_4;٣;male;none;١;real_estate;٢٣;none;own;١;skilled;١;none;yes;No Risk
0_to_200;١٤;credits_paid_to_date;furniture;١٠٧٤;less_100;4_to_7;٣;male;none;٢;savings_insurance;٣٥;none;rent;١;skilled;١;none;yes;No Risk
less_0;٤;all_credits_paid_back;radio_tv;٢٥٠;less_100;unemployed;٢;male;none;١;real_estate;١٩;none;rent;١;skilled;١;none;yes;No Risk
0_to_200;١٦;credits_paid_to_date;vacation;٢٦٩١;less_100;1_to_4;٣;female;none;٢;car_other;٣٦;none;free;١;skilled;١;none;yes;No Risk
greater_200;١٠;credits_paid_to_date;furniture;١٦٦٨;less_100;less_1;٢;female;none;٢;real_estate;٢٠;none;own;١;skilled;١;none;yes;No Risk
0_to_200;٢٩;credits_paid_to_date;radio_tv;٥٥٣٦;less_100;4_to_7;٣;female;none;٣;unknown;٥٢;stores;own;٢;skilled;١;yes;yes;No Risk
0_to_200;٢٠;credits_paid_to_date;car_used;٣٧١٣;less_100;less_1;٣;male;none;٢;real_estate;٢٩;none;rent;١;skilled;١;none;yes;No Risk
no_checking;٣٢;outstanding_credit;repairs;٦٣٣١;unknown;greater_7;٥;male;co-applicant;٤;car_other;٤٨;none;free;٢;management_self-employed;٢;yes;yes;Risk
less_0;٧;credits_paid_to_date;vacation;٢٥٠;less_100;4_to_7;٣;female;none;٣;real_estate;١٩;none;own;١;skilled;١;none;yes;No Risk
less_0;٣٣;credits_paid_to_date;business;٢٣٩٨;less_100;less_1;٣;male;none;٣;savings_insurance;٢٢;none;own;١;skilled;١;none;yes;No Risk
no_checking;٣٧;prior_payments_delayed;other;٥٨٤٣;unknown;greater_7;٥;male;none;٣;savings_insurance;٤٩;none;own;٣;skilled;٢;yes;yes;Risk
less_0;١٤;all_credits_paid_back;furniture;٢٥٠;less_100;less_1;٢;male;none;١;real_estate;٣٠;none;own;٢;skilled;١;none;yes;No Risk
no_checking;٢٥;prior_payments_delayed;radio_tv;٧٥٨٧;500_to_1000;1_to_4;٤;male;none;٤;car_other;٣٨;none;own;٢;management_self-employed;١;none;yes;No Risk
0_to_200;١٣;prior_payments_delayed;radio_tv;٢٤٥٣;less_100;4_to_7;٣;male;none;٢;car_other;٣٩;none;own;٢;skilled;١;none;yes;No Risk
0_to_200;٤;prior_payments_delayed;car_used;٣٥٧;less_100;less_1;٢;female;none;٢;savings_insurance;٣٤;bank;rent;١;unskilled;١;none;yes;No Risk
0_to_200;١٨;prior_payments_delayed;retraining;٧٥٠٦;500_to_1000;1_to_4;٣;male;none;٣;unknown;٤٦;none;free;٣;skilled;١;yes;yes;Risk
less_0;١٤;prior_payments_delayed;furniture;١٦٩٧;less_100;1_to_4;٣;female;none;٣;car_other;١٩;none;own;١;skilled;١;none;yes;No Risk
0_to_200;١٤;credits_paid_to_date;car_new;١٩٣٩;500_to_1000;1_to_4;٢;male;co-applicant;٤;car_other;٣٦;none;free;١;skilled;١;yes;yes;Risk
less_0;٤;all_credits_paid_back;car_new;٢٧٨٣;less_100;less_1;٢;female;none;١;savings_insurance;٣١;none;own;١;skilled;١;none;yes;No Risk
no_checking;٣٥;outstanding_credit;appliances;٦٩٩٦;unknown;greater_7;٥;male;co-applicant;٤;unknown;٥٢;stores;own;٢;unskilled;٢;yes;yes;Risk
no_checking;٢٣;prior_payments_delayed;furniture;٣٧٨٦;greater_1000;4_to_7;٤;male;guarantor;٥;car_other;٣٨;none;own;١;skilled;١;yes;yes;No Risk
0_to_200;٢٣;prior_payments_delayed;retraining;٢٩٦٤;less_100;less_1;٢;male;none;٣;real_estate;٣٢;none;own;١;skilled;١;yes;yes;No Risk
less_0;١٢;all_credits_paid_back;furniture;٢٥٠;less_100;unemployed;٢;female;none;٢;savings_insurance;٢٧;bank;rent;١;unemployed;٢;yes;yes;No Risk
no_checking;٢٥;outstanding_credit;education;٥٦١٤;500_to_1000;1_to_4;٤;male;none;٣;car_other;٤٥;none;own;١;management_self-employed;١;none;yes;No Risk
less_0;٤;all_credits_paid_back;vacation;٢٠٦٤;less_100;1_to_4;٢;female;none;١;savings_insurance;١٩;bank;rent;١;unskilled;١;none;yes;No Risk
no_checking;٣٥;prior_payments_delayed;furniture;٥٢٢٢;unknown;greater_7;٤;male;guarantor;٣;savings_insurance;٥٣;none;free;٢;skilled;٢;yes;yes;No Risk
no_checking;٢٥;credits_paid_to_date;car_used;٢٠٥٦;500_to_1000;4_to_7;٣;male;none;٤;real_estate;٣٠;stores;own;٢;skilled;١;none;yes;No Risk
less_0;١٤;all_credits_paid_back;car_used;٢٥٠;less_100;1_to_4;١;female;none;٢;car_other;٣٣;stores;rent;١;unskilled;١;none;yes;No Risk
no_checking;٨;credits_paid_to_date;vacation;٤٤٤٨;less_100;4_to_7;٢;male;none;٣;car_other;٤٠;none;own;١;management_self-employed;١;yes;yes;Risk
0_to_200;٢٤;outstanding_credit;radio_tv;٣٠٩١;500_to_1000;less_1;٢;male;none;٣;savings_insurance;٣٧;bank;rent;٢;unskilled;٢;yes;yes;No Risk
0_to_200;١١;credits_paid_to_date;vacation;٣٦٠٥;less_100;1_to_4;٣;female;none;٢;savings_insurance;١٩;none;rent;١;skilled;١;none;yes;No Risk
0_to_200;١٤;prior_payments_delayed;car_new;٢٦٠٩;less_100;4_to_7;٤;male;none;٢;savings_insurance;٣٣;bank;rent;١;unskilled;١;yes;yes;No Risk
no_checking;٨;credits_paid_to_date;furniture;٤٦٣;greater_1000;4_to_7;٣;male;none;٤;savings_insurance;٤٢;none;own;٢;skilled;١;yes;yes;No Risk
greater_200;٣٥;all_credits_paid_back;car_used;٥٢٠٨;less_100;4_to_7;٣;male;none;٢;savings_insurance;٣١;none;own;٢;skilled;١;yes;yes;No Risk
0_to_200;١٦;credits_paid_to_date;furniture;١٥٢٤;less_100;less_1;١;female;none;١;savings_insurance;٣٦;stores;own;١;skilled;١;none;yes;No Risk
0_to_200;٢٢;credits_paid_to_date;radio_tv;٢٧٨٣;less_100;less_1;٣;male;none;٢;savings_insurance;٢٨;none;own;١;skilled;١;none;yes;No Risk
no_checking;١٦;credits_paid_to_date;repairs;٦٩٠٧;less_100;less_1;٤;female;none;٣;car_other;٣٤;none;own;١;management_self-employed;١;yes;yes;No Risk
less_0;١٦;all_credits_paid_back;car_new;٢٥٠;100_to_500;less_1;١;male;none;١;savings_insurance;٢٠;none;rent;١;skilled;١;none;yes;No Risk
less_0;١٥;credits_paid_to_date;furniture;٢٥٠;less_100;4_to_7;٢;male;none;١;savings_insurance;٢٧;stores;own;١;skilled;١;none;yes;No Risk
no_checking;٤١;outstanding_credit;retraining;٦٦٧٤;500_to_1000;4_to_7;٥;male;none;٥;savings_insurance;٤٤;stores;free;٢;unskilled;١;yes;yes;Risk
0_to_200;٢٦;credits_paid_to_date;radio_tv;٢٥٠;less_100;4_to_7;٢;male;none;٢;real_estate;٢٢;stores;own;١;skilled;١;none;yes;No Risk
less_0;١٦;prior_payments_delayed;car_new;١١٤٩;less_100;1_to_4;٣;male;none;٢;savings_insurance;٤٥;none;own;٢;skilled;١;yes;yes;Risk
no_checking;٢٥;prior_payments_delayed;repairs;٤١٨٣;100_to_500;1_to_4;٤;female;none;٢;car_other;٢٤;none;own;١;skilled;١;none;yes;No Risk
